Cost,PaperQuantity,Time,CostConstant,WorkHours
1102,550.0000,218,112,325
1008,502.0000,199,99,301
1227,616.0000,249,126,376
1395,701.0000,277,143,419
1710,838.0000,363,191,682
1881,919.0000,399,210,751
1924,939.0000,411,216,813
1246,622.0000,248,124,371
1255,626.0000,259,127,383
1314,659.0000,266,135,402
1557,740.0000,334,181,546
1287,646.0000,259,127,387
1451,732.0000,286,155,433
1828,891.0000,389,208,878
1903,932.0000,404,216,660
1997,964.0000,430,233,694
1363,680.0000,271,129,405
1421,723.0000,286,146,426
1543,784.0000,317,158,478
1774,841.0000,376,199,601
1929,922.0000,415,228,679
1317,647.0000,260,126,378
1302,656.0000,250,117,380
1388,704.0000,281,142,429
