Date,Open,High,Low,Close ,Adj Close ,Volume
"Sep 22, 2024",2646.20,2655.90,2640.70,2652.80,2652.80,19559.00
"Sep 20, 2024",2590.40,2621.80,2590.40,2619.90,2619.90,99.00
"Sep 19, 2024",2566.00,2588.00,2566.00,2588.00,2588.00,99.00
"Sep 18, 2024",2570.70,2570.70,2549.20,2570.70,2570.70,25.00
"Sep 17, 2024",2581.20,2581.80,2564.30,2564.30,2564.30,22.00
"Sep 16, 2024",2580.40,2580.40,2580.40,2580.40,2580.40,28.00
"Sep 13, 2024",2568.80,2581.80,2565.00,2581.30,2581.30,31.00
"Sep 12, 2024",2529.10,2557.00,2523.40,2551.20,2551.20,132.00
"Sep 11, 2024",2525.80,2525.80,2502.30,2512.10,2512.10,90.00
"Sep 10, 2024",2512.30,2512.30,2512.30,2512.30,2512.30,5.00
"Sep 9, 2024",2491.30,2504.70,2491.30,2501.80,2501.80,96.00
"Sep 6, 2024",2510.30,2517.90,2483.70,2493.50,2493.50,96.00
"Sep 5, 2024",2493.70,2513.30,2493.40,2511.40,2511.40,54.00
"Sep 4, 2024",2490.90,2493.40,2483.50,2493.40,2493.40,470.00
"Sep 3, 2024",2501.60,2501.80,2476.30,2489.90,2489.90,206.00
"Aug 30, 2024",2519.50,2525.40,2493.80,2493.80,2493.80,208.00
"Aug 29, 2024",2504.10,2525.70,2503.90,2525.70,2525.70,3966.00
"Aug 28, 2024",2501.00,2501.00,2501.00,2501.00,2501.00,2353.00
"Aug 27, 2024",2515.20,2523.10,2506.90,2516.00,2516.00,100.00
"Aug 26, 2024",2509.90,2523.10,2509.10,2517.70,2517.70,290.00
"Aug 23, 2024",2486.50,2508.40,2486.50,2508.40,2508.40,94.00
"Aug 22, 2024",2504.10,2504.10,2471.10,2478.90,2478.90,210.00
"Aug 21, 2024",2511.00,2515.40,2503.90,2508.40,2508.40,96.00
"Aug 20, 2024",2503.50,2527.30,2500.70,2511.30,2511.30,187.00
"Aug 19, 2024",2508.50,2508.50,2487.20,2501.80,2501.80,88.00
"Aug 16, 2024",2453.50,2508.00,2451.40,2498.60,2498.60,197.00
"Aug 15, 2024",2451.80,2467.70,2431.20,2453.10,2453.10,285.00
"Aug 14, 2024",2468.00,2472.10,2439.40,2439.40,2439.40,274.00
"Aug 13, 2024",2461.00,2470.00,2456.50,2466.70,2466.70,510.00
"Aug 12, 2024",2432.70,2469.80,2432.00,2462.40,2462.40,566.00
"Aug 9, 2024",2422.30,2432.10,2418.50,2432.10,2432.10,611.00
"Aug 8, 2024",2384.30,2422.80,2384.30,2422.20,2422.20,201.00
"Aug 7, 2024",2392.20,2401.00,2384.50,2390.50,2390.50,130.00
"Aug 6, 2024",2414.50,2421.80,2380.00,2389.10,2389.10,163.00
"Aug 5, 2024",2442.00,2449.80,2367.40,2401.70,2401.70,334.00
"Aug 2, 2024",2444.00,2477.00,2416.00,2425.70,2425.70,550.00
"Aug 1, 2024",2446.70,2455.10,2430.40,2435.00,2435.00,690.00
"Jul 31, 2024",2407.10,2447.60,2402.80,2426.50,2426.50,1313.00
"Jul 30, 2024",2380.90,2409.30,2373.80,2405.00,2405.00,25944.00
"Jul 29, 2024",2377.30,2377.30,2377.30,2377.30,2377.30,126409.00
"Jul 26, 2024",2368.70,2386.90,2368.70,2380.00,2380.00,95.00
"Jul 25, 2024",2365.50,2365.50,2351.90,2351.90,2351.90,31.00
"Jul 24, 2024",2421.00,2421.00,2411.60,2413.30,2413.30,6.00
"Jul 23, 2024",2395.80,2404.60,2388.70,2404.60,2404.60,41.00
"Jul 22, 2024",2402.10,2402.10,2392.00,2392.00,2392.00,18.00
